,Sales_ID,name,year,selling_price,km_driven,Region,State or Province,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,sold
1428,1475,Maruti,1994,45000,60000,East,Massachusetts,Braintree,Petrol,Individual,Manual,First_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
1422,1469,Maruti,1999,52000,100000,Central,Kansas,Kansas City,Petrol,Individual,Manual,First_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
171,178,Maruti,1999,40000,40000,East,District of Columbia,Washington,Petrol,Individual,Manual,Second_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
970,1000,Maruti,1999,55000,60000,Central,Michigan,Detroit,Petrol,Individual,Manual,Second_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
1828,1883,Maruti,2000,110000,70000,Central,Indiana,Lawrence,Petrol,Individual,Manual,Fourth_Above_Owner,17.3,993,60.0,78Nm@ 4500rpm,5,Y
995,1026,Maruti,2000,108000,206000,West,California,Los Angeles,Petrol,Individual,Manual,Fourth_Above_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
180,187,Daewoo,2000,100000,60000,East,Massachusetts,Boston,Petrol,Individual,Manual,First_Owner,18.5,796,53.0,71Nm@ 3500rpm,5,Y
781,809,Maruti,2000,80000,70000,Central,Michigan,Detroit,Petrol,Individual,Manual,Fourth_Above_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
1724,1776,Maruti,2000,45000,50000,East,Pennsylvania,Mount Lebanon,Petrol,Individual,Manual,Second_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
1337,1380,Maruti,2001,75000,35000,South,Georgia,Atlanta,Petrol,Individual,Manual,Third_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
7,8,Maruti,2001,45000,5000,West,California,Los Angeles,Petrol,Individual,Manual,Second_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
1227,1266,Honda,2002,81000,161000,West,Oregon,Troutdale,Petrol,Individual,Manual,Fourth_Above_Owner,13.0,1493,100.0,13.1kgm@ 4600rpm,5,Y
321,334,Maruti,2002,60000,100000,West,California,San Diego,Petrol,Individual,Manual,Fourth_Above_Owner,17.3,993,60.0,78Nm@ 4500rpm,5,Y
525,543,Maruti,2002,140000,50000,West,California,Los Angeles,Petrol,Individual,Manual,Second_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
1988,2050,Maruti,2002,65000,80000,South,Tennessee,Germantown,Petrol,Individual,Manual,Second_Owner,17.3,993,60.0,78Nm@ 4500rpm,5,Y
1387,1431,Maruti,2002,120000,120000,East,Ohio,Hudson,Petrol,Individual,Manual,First_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
873,902,Maruti,2002,40000,80000,West,California,Los Angeles,Petrol,Individual,Manual,Third_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
17,19,Maruti,2002,150000,80000,Central,Texas,Dallas,Petrol,Individual,Manual,Second_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
760,788,Mahindra,2003,150000,132478,Central,Illinois,Chicago,Diesel,Individual,Manual,Second_Owner,13.6,2523,63.0,180 Nm at 1440-1500rpm,7,Y
923,952,Maruti,2003,85000,120000,West,California,Los Angeles,Diesel,Individual,Manual,Third_Owner,20.8,1527,58.0,789Nm@ 2250rpm,5,Y
1438,1485,Maruti,2003,120000,120000,East,New York,Deer Park,Petrol,Individual,Manual,Third_Owner,17.3,993,60.0,78Nm@ 4500rpm,5,Y
1423,1470,Mahindra,2003,300000,98000,Central,Kansas,Leavenworth,Diesel,Individual,Manual,First_Owner,10.5,2179,120.0,290Nm@ 1800-2800rpm,8,Y
316,329,Maruti,2003,65000,60000,Central,Illinois,Chicago,Petrol,Individual,Manual,Fourth_Above_Owner,17.3,993,60.0,78Nm@ 4500rpm,5,Y
1836,1891,Maruti,2003,65000,90000,Central,Indiana,Lawrence,Petrol,Individual,Manual,Fourth_Above_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
1798,1853,Maruti,2003,45000,35000,Central,Illinois,Hanover Park,Petrol,Individual,Manual,Fourth_Above_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
860,889,Hyundai,2003,110000,90000,East,New York,New York City,Petrol,Individual,Manual,Second_Owner,13.2,1495,94.0,"12.5@ 3,500(kgm@ rpm)",5,Y
1214,1253,Maruti,2003,35000,35000,West,Oregon,Troutdale,Petrol,Individual,Manual,Second_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
1994,2056,Maruti,2003,50000,147000,Central,Illinois,Kankakee,Petrol,Individual,Manual,Fourth_Above_Owner,18.9,998,67.1,90Nm@ 3500rpm,5,Y
1454,1502,Maruti,2004,70000,70000,Central,Iowa,Waterloo,Petrol,Individual,Manual,Second_Owner,18.9,998,67.1,90Nm@ 3500rpm,5,Y
555,573,Maruti,2004,120000,120000,West,Washington,Seattle,Petrol,Individual,Manual,Third_Owner,18.9,998,67.1,90Nm@ 3500rpm,5,Y
